#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
11624257|2022-11-22T02:03:06|-9.809|159.5936|14.0|at,pt,us,usauto|NEIC PDE|us|us7000irfb,usauto7000irfb,at00rlq8db,pt22326000|Mww|7.0|us|SOLOMON ISLANDS
11619700|2022-11-11T10:48:46|-19.2868|-172.1488|37.0|us,at,pt,at,usauto|NEIC PDE|us|at00rl6jdd,us7000ip0l,at00rl6jdl,pt22315000,usauto7000ip0l|Mww|7.3|us|TONGA ISLANDS REGION
11599611|2022-09-19T18:05:07|18.4967|-102.9818|25.485|at,pt,us,usauto|NEIC PDE|us|us7000i9bw,at00rigy8l,pt22262001,usauto7000i9bw|mww|7.6|us|MICHOACAN, MEXICO
11598031|2022-09-14T11:04:06|-21.1909|170.2666|137.0|at,pt,us,usauto|NEIC PDE|us|us7000i7ya,at00ri75ev,pt22257002,usauto7000i7ya|mww|7.0|us|SOUTHEAST OF LOYALTY ISLANDS
11597040|2022-09-10T23:47:00|-6.2949|146.5025|116.0|at,pt,us,usauto|NEIC PDE|us|us6000iitd,usauto6000iitd,pt22253002,at00ri0q2b|mww|7.6|us|EASTERN NEW GUINEA REG., P.N.G.
11582449|2022-07-27T00:43:28|17.5524|120.7955|46.0|pt,us,at,usauto|NEIC PDE|us|us6000i5rd,pt22208000,usauto6000i5rd,at00rfnm0d|Mww|7.0|us|LUZON, PHILIPPINES
11545137|2022-03-31T05:44:01|-22.5855|170.3749|10.0|at,us,pt,usauto|NEIC PDE|us|us7000gymk,usauto7000gymk,at00r9lh9g,pt22090001|Mww|7.0|us|SOUTHEAST OF LOYALTY ISLANDS
11540109|2022-03-16T14:36:33|37.7302|141.5951|59.85|pt,us,at,usauto|NEIC PDE|us|us6000h519,at00r8udwu,usauto6000h519,pt22075004|mww|7.3|us|NEAR EAST COAST OF HONSHU, JAPAN
11511564|2021-12-29T18:25:51|-7.5465|127.5764|164.28|us,usauto,pt,at|NEIC PDE|us|at00r4w374,usauto7000g7lx,us7000g7lx,pt21363002|mww|7.3|us|BANDA SEA
11506935|2021-12-14T03:20:23|-7.6046|122.2273|15.06|at,pt,us,usauto|NEIC PDE|us|us6000gc2a,usauto6000gc2a,at00r435a2,pt21348000|mww|7.3|us|FLORES SEA
11501860|2021-11-28T10:52:14|-4.4528|-76.8109|126.0|pt,at,us,usauto|NEIC PDE|us|us7000fxq2,pt21332000,usauto7000fxq2,at00r3a3j1|mww|7.5|us|NORTHERN PERU
11471335|2021-09-08T01:47:47|16.9722|-99.7429|20.0|at,pt,us,usauto|NEIC PDE|us|us7000f93v,usauto7000f93v,pt21251050,at00qz3ebs|mww|7.0|us|NEAR COAST OF GUERRERO, MEXICO
11458866|2021-08-22T21:33:20|-60.2897|-24.8801|14.0|us,pt,at,usauto|NEIC PDE|us|us6000f9sq,pt21234002,at00qy9fvn,usauto6000f9sq|mww|7.1|us|SOUTH SANDWICH ISLANDS REGION
11456117|2021-08-14T12:29:08|18.4167|-73.4804|10.0|at,pt,us,usauto|NEIC PDE|us|usauto6000f65h,us6000f65h,at00qxtxcn,pt21226002|mww|7.2|us|HAITI REGION
11455082|2021-08-12T18:32:52|-57.5674|-25.0316|47.23|us,at,pt,usauto|NEIC PDE|us|us6000f4ly,at00qxqoup,pt21224001,usauto6000f4ly|Mww|7.5|us|SOUTH SANDWICH ISLANDS REGION
11417068|2021-05-21T18:04:13|34.5884|98.2402|10.0|us,usauto,pt,at|NEIC PDE|us|usauto7000e54r,pt21141001,at00qtgy75,us7000e54r|Mww|7.3|us|QINGHAI, CHINA
11391400|2021-03-20T09:09:44|38.4754|141.6328|43.0|at,us,usauto,pt|NEIC PDE|us|us7000dl6y,usauto7000dl6y,at00qq9g49,pt21079003|Mww|7.0|us|NEAR EAST COAST OF HONSHU, JAPAN
11384679|2021-03-04T17:41:23|-29.6762|-177.8415|43.0|us,pt,at,usauto|NEIC PDE|us|us7000dfk3,usauto7000dfk3,at00qpgh52,pt21063002|mww|7.4|us|KERMADEC ISLANDS, NEW ZEALAND
